lad_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Access_Proportion,Access_Extent,Environment_Proportion,Environment_Extent
N09000001,0.013888888888888888,0.08000850878109876,0,0.03643306028214678,0.013888888888888888,0.09601255411969874,0.125,0.16986409789499357,0,0.11242269203897168,0.027777777777777776,0.13098883405859688,0.06944444444444445,0.14156071950546376,0.013888888888888888,0.06879798796667637
N09000002,0.08888888888888889,0.12495257187031981,0.07777777777777778,0.19150788280923212,0.044444444444444446,0.0898684951590842,0.08888888888888889,0.13843194745640774,0.044444444444444446,0.10856949373765185,0.06666666666666667,0.12597279422731905,0.07777777777777778,0.2684164415634156,0.06666666666666667,0.09765610700689448
N09000003,0.2611111111111111,0.38242813473345516,0.1111111111111111,0.2181018154258876,0.2722222222222222,0.3889429290635996,0.3,0.4403698739061486,0.3111111111111111,0.441694995272934,0.23333333333333334,0.4146965316066449,0,7.596324963350698e-4,0.26666666666666666,0.4256132216527349
N09000004,0.041666666666666664,0.16735847987128785,0.16666666666666666,0.30787075592219715,0.041666666666666664,0.1503192550799582,0.027777777777777776,0.0942952843337737,0.027777777777777776,0.0724621646486359,0.1111111111111111,0.13246082753067742,0.16666666666666666,0.3326742032157687,0.041666666666666664,0.12291732977543685
N09000005,0.25333333333333335,0.4013084054600997,0.29333333333333333,0.40150002452640554,0.32,0.4464917673032051,0.09333333333333334,0.225293960276964,0.24,0.3781225680155494,0.14666666666666667,0.2663526590972265,0.09333333333333334,0.18523263382633148,0.09333333333333334,0.21421037324318745
N09000006,0.061224489795918366,0.16475997977191395,0.16326530612244897,0.3164381442883004,0.061224489795918366,0.1333374952142106,0,0.04922145181348915,0.061224489795918366,0.12923180346477703,0.061224489795918366,0.12569942014613356,0.46938775510204084,0.6213310143362973,0.02040816326530612,0.1432185027809135
N09000007,0.014705882352941176,0.0354372479066289,0,0.0280124840402894,0.014705882352941176,0.031399392961789514,0.029411764705882353,0.10716581810921433,0.014705882352941176,0.058932096138319234,0.014705882352941176,0.04953782079237226,0.058823529411764705,0.13422886356352096,0.07352941176470588,0.11649289190831726
N09000008,0.03076923076923077,0.10841258372072017,0.046153846153846156,0.09979670456954616,0.015384615384615385,0.11767976784376086,0.06153846153846154,0.16751227916492986,0,0.09910224254189766,0.07692307692307693,0.14232811531021117,0.07692307692307693,0.23313473655489542,0.09230769230769231,0.17395210927275825
N09000009,0,0.04968215322015808,0.03389830508474576,0.11357314759065223,0,0.044638277480045695,0,0.049420566391130405,0.01694915254237288,0.08525718960042268,0,0.0925865007714898,0.23728813559322035,0.48971468042417016,0.01694915254237288,0.09439645623748194
N09000010,0.05952380952380952,0.22267464790892433,0.14285714285714285,0.35843658569968107,0.03571428571428571,0.16153836693864002,0.011904761904761904,0.10384047006629042,0.047619047619047616,0.1420871344932785,0.10714285714285714,0.17289806597676463,0.14285714285714285,0.3790390100504853,0.09523809523809523,0.19505632907418224
N09000011,0.011627906976744186,0.07066946903272894,0.03488372093023256,0.10925149475944985,0.011627906976744186,0.06834510874949529,0.03488372093023256,0.12955183364846687,0.011627906976744186,0.04766508293247328,0.023255813953488372,0.10563556876218291,0.011627906976744186,0.10302679246888753,0.05813953488372093,0.10533167954540214
