lad_code,"IMD Deciles, 1: most deprived, 10: least deprived"
E06000001,1
E06000002,1
E06000003,2
E06000004,3
E06000005,3
E06000006,1
E06000007,5
E06000008,1
E06000009,1
E06000010,1
E06000011,7
E06000012,1
E06000013,4
E06000014,9
E06000015,3
E06000016,2
E06000017,10
E06000018,1
E06000019,5
E06000020,3
E06000021,1
E06000022,9
E06000023,3
E06000024,7
E06000025,9
E06000026,3
E06000027,2
E06000030,5
E06000031,2
E06000032,3
E06000033,4
E06000034,5
E06000035,3
E06000036,10
E06000037,10
E06000038,5
E06000039,4
E06000040,10
E06000041,10
E06000042,6
E06000043,5
E06000044,2
E06000045,2
E06000046,4
E06000047,2
E06000049,7
E06000050,6
E06000051,6
E06000052,4
E06000053,9
E06000054,8
E06000055,5
E06000056,9
E06000057,4
E06000058,6
E06000059,7
E07000004,9
E07000005,10
E07000006,10
E07000007,9
E07000008,7
E07000009,9
E07000010,3
E07000011,8
E07000012,10
E07000026,4
E07000027,1
E07000028,4
E07000029,3
E07000030,6
E07000031,8
E07000032,6
E07000033,3
E07000034,3
E07000035,9
E07000036,5
E07000037,7
E07000038,6
E07000039,7
E07000040,8
E07000041,6
E07000042,6
E07000043,5
E07000044,8
E07000045,7
E07000046,4
E07000047,6
E07000061,4
E07000062,1
E07000063,7
E07000064,5
E07000065,8
E07000066,4
E07000067,7
E07000068,10
E07000069,6
E07000070,8
E07000071,6
E07000072,7
E07000073,4
E07000074,8
E07000075,9
E07000076,2
E07000077,10
E07000078,7
E07000079,9
E07000080,6
E07000081,4
E07000082,9
E07000083,9
E07000084,8
E07000085,9
E07000086,10
E07000087,10
E07000088,5
E07000089,10
E07000090,4
E07000091,8
E07000092,7
E07000093,9
E07000094,10
E07000095,6
E07000096,8
E07000098,8
E07000099,9
E07000102,10
E07000103,7
E07000105,6
E07000106,6
E07000107,5
E07000108,4
E07000109,4
E07000110,6
E07000111,8
E07000112,3
E07000113,2
E07000114,1
E07000115,8
E07000116,9
E07000117,1
E07000118,6
E07000119,7
E07000120,1
E07000121,3
E07000122,2
E07000123,2
E07000124,9
E07000125,3
E07000126,7
E07000127,5
E07000128,5
E07000129,9
E07000130,8
E07000131,10
E07000132,8
E07000133,8
E07000134,7
E07000135,8
E07000136,4
E07000137,2
E07000138,2
E07000139,9
E07000140,6
E07000141,8
E07000142,5
E07000143,5
E07000144,9
E07000145,1
E07000146,4
E07000147,5
E07000148,2
E07000149,8
E07000150,3
E07000151,8
E07000152,8
E07000153,5
E07000154,4
E07000155,10
E07000156,4
E07000163,8
E07000164,9
E07000165,9
E07000166,9
E07000167,7
E07000168,3
E07000169,8
E07000170,3
E07000171,4
E07000172,7
E07000173,7
E07000174,2
E07000175,5
E07000176,10
E07000177,7
E07000178,6
E07000179,10
E07000180,10
E07000181,10
E07000187,6
E07000188,4
E07000189,6
E07000192,5
E07000193,5
E07000194,8
E07000195,5
E07000196,8
E07000197,8
E07000198,7
E07000199,5
E07000200,7
E07000202,3
E07000203,8
E07000207,10
E07000208,10
E07000209,10
E07000210,10
E07000211,9
E07000212,9
E07000213,7
E07000214,10
E07000215,9
E07000216,10
E07000217,9
E07000218,6
E07000219,4
E07000220,8
E07000221,9
E07000222,9
E07000223,6
E07000224,5
E07000225,8
E07000226,5
E07000227,10
E07000228,10
E07000229,6
E07000234,9
E07000235,7
E07000236,4
E07000237,5
E07000238,7
E07000239,4
E07000240,10
E07000241,7
E07000242,10
E07000243,5
E07000244,5
E07000245,6
E07000246,5
E08000001,2
E08000002,4
E08000003,1
E08000004,1
E08000005,1
E08000006,1
E08000007,5
E08000008,1
E08000009,7
E08000010,3
E08000011,1
E08000012,1
E08000013,1
E08000014,2
E08000015,2
E08000016,2
E08000017,2
E08000018,2
E08000019,2
E08000021,2
E08000022,4
E08000023,1
E08000024,2
E08000025,1
E08000026,3
E08000027,3
E08000028,1
E08000029,6
E08000030,1
E08000031,1
E08000032,1
E08000033,3
E08000034,3
E08000035,2
E08000036,2
E08000037,2
E09000001,7
E09000002,1
E09000003,7
E09000004,6
E09000005,3
E09000006,8
E09000007,5
E09000008,4
E09000009,4
E09000010,3
E09000011,3
E09000012,1
E09000013,4
E09000014,2
E09000015,7
E09000016,6
E09000017,6
E09000018,4
E09000019,2
E09000020,4
E09000021,9
E09000022,3
E09000023,3
E09000024,7
E09000025,2
E09000026,6
E09000027,10
E09000028,3
E09000029,8
E09000030,2
E09000031,3
E09000032,6
E09000033,5
W06000001,9
W06000002,10
W06000003,8
W06000004,6
W06000005,9
W06000006,6
W06000008,10
W06000009,8
W06000010,7
W06000011,5
W06000012,2
W06000013,5
W06000014,7
W06000015,3
W06000016,3
W06000018,4
W06000019,1
W06000020,4
W06000021,10
W06000022,1
W06000023,9
W06000024,2
S12000005,3
S12000006,7
S12000008,3
S12000010,8
S12000011,9
S12000013,10
S12000014,5
S12000017,7
S12000018,1
S12000019,6
S12000020,9
S12000021,1
S12000023,10
S12000026,8
S12000027,10
S12000028,4
S12000029,4
S12000030,6
S12000033,6
S12000034,10
S12000035,7
S12000036,5
S12000038,3
S12000039,2
S12000040,5
S12000041,8
S12000042,2
S12000045,9
S12000047,4
S12000048,9
S12000049,1
S12000050,2
N09000001,8
N09000002,6
N09000003,2
N09000004,4
N09000005,1
N09000006,5
N09000007,10
N09000008,7
N09000009,10
N09000010,3
N09000011,9
